,reference,country,title,author,is_gov,word_count,Body,central_bank,year,language,vader_polarity,lm_polarity,finbert_polarity
2002-05-09,r020429a_BOE,United Kingdom,Property and the Economy,Clementi,False,3362,BOE,Bank of England,2002,en,0.9997,0.0289855070363369,-0.10194312
2002-05-10,r020429a_BOE,United Kingdom,Property and the Economy,Clementi,False,3362,BOE,Bank of England,2002,en,0.9997,0.0289855070363369,-0.10194312
2002-05-11,r020429a_BOE,United Kingdom,Property and the Economy,Clementi,False,3362,BOE,Bank of England,2002,en,0.9997,0.0289855070363369,-0.10194312
2002-05-12,r020429a_BOE,United Kingdom,Property and the Economy,Clementi,False,3362,BOE,Bank of England,2002,en,0.9997,0.0289855070363369,-0.10194312
2002-05-13,r020429a_BOE,United Kingdom,Property and the Economy,Clementi,False,3362,BOE,Bank of England,2002,en,0.9997,0.0289855070363369,-0.10194312
2002-05-14,r020429a_BOE,United Kingdom,Property and the Economy,Clementi,False,3362,BOE,Bank of England,2002,en,0.9997,0.0289855070363369,-0.10194312
2002-05-15,r020429a_BOE,United Kingdom,Property and the Economy,Clementi,False,3362,BOE,Bank of England,2002,en,0.9997,0.0289855070363369,-0.10194312
2002-05-16,r020516a_BOE,United Kingdom,The MPC: Some Further Challenges,Wadhwani,False,5501,BOE,Bank of England,2002,en,0.9976,-0.2815533966914884,-0.0070958957
2002-05-17,r020516a_BOE,United Kingdom,The MPC: Some Further Challenges,Wadhwani,False,5501,BOE,Bank of England,2002,en,0.9976,-0.2815533966914884,-0.0070958957
2002-05-18,r020516a_BOE,United Kingdom,The MPC: Some Further Challenges,Wadhwani,False,5501,BOE,Bank of England,2002,en,0.9976,-0.2815533966914884,-0.0070958957
2002-05-19,r020516a_BOE,United Kingdom,The MPC: Some Further Challenges,Wadhwani,False,5501,BOE,Bank of England,2002,en,0.9976,-0.2815533966914884,-0.0070958957
2002-05-20,r020516a_BOE,United Kingdom,The MPC: Some Further Challenges,Wadhwani,False,5501,BOE,Bank of England,2002,en,0.9976,-0.2815533966914884,-0.0070958957
2002-05-21,r020516a_BOE,United Kingdom,The MPC: Some Further Challenges,Wadhwani,False,5501,BOE,Bank of England,2002,en,0.9976,-0.2815533966914884,-0.0070958957
2002-05-22,r020522a_BOE,United Kingdom,The Monetary Policy Committee Five Years On,King,True,6487,BOE,Bank of England,2002,en,1.0,-0.0717703345848309,0.00080389867
2002-05-23,r020522a_BOE,United Kingdom,The Monetary Policy Committee Five Years On,King,True,6487,BOE,Bank of England,2002,en,1.0,-0.0717703345848309,0.00080389867
2002-05-24,r020522a_BOE,United Kingdom,The Monetary Policy Committee Five Years On,King,True,6487,BOE,Bank of England,2002,en,1.0,-0.0717703345848309,0.00080389867
2002-05-25,r020522a_BOE,United Kingdom,The Monetary Policy Committee Five Years On,King,True,6487,BOE,Bank of England,2002,en,1.0,-0.0717703345848309,0.00080389867
2002-05-26,r020522a_BOE,United Kingdom,The Monetary Policy Committee Five Years On,King,True,6487,BOE,Bank of England,2002,en,1.0,-0.0717703345848309,0.00080389867
2002-05-27,r020522a_BOE,United Kingdom,The Monetary Policy Committee Five Years On,King,True,6487,BOE,Bank of England,2002,en,1.0,-0.0717703345848309,0.00080389867
2002-05-28,r020522a_BOE,United Kingdom,The Monetary Policy Committee Five Years On,King,True,6487,BOE,Bank of England,2002,en,1.0,-0.0717703345848309,0.00080389867
2002-05-29,r020522a_BOE,United Kingdom,The Monetary Policy Committee Five Years On,King,True,6487,BOE,Bank of England,2002,en,1.0,-0.0717703345848309,0.00080389867
2002-05-30,r020522a_BOE,United Kingdom,The Monetary Policy Committee Five Years On,King,True,6487,BOE,Bank of England,2002,en,1.0,-0.0717703345848309,0.00080389867
2002-05-31,r020522a_BOE,United Kingdom,The Monetary Policy Committee Five Years On,King,True,6487,BOE,Bank of England,2002,en,1.0,-0.0717703345848309,0.00080389867
2002-06-01,r020522a_BOE,United Kingdom,The Monetary Policy Committee Five Years On,King,True,6487,BOE,Bank of England,2002,en,1.0,-0.0717703345848309,0.00080389867
2002-06-02,r020522a_BOE,United Kingdom,The Monetary Policy Committee Five Years On,King,True,6487,BOE,Bank of England,2002,en,1.0,-0.0717703345848309,0.00080389867
2002-06-03,r020522a_BOE,United Kingdom,The Monetary Policy Committee Five Years On,King,True,6487,BOE,Bank of England,2002,en,1.0,-0.0717703345848309,0.00080389867
2002-06-04,r020522a_BOE,United Kingdom,The Monetary Policy Committee Five Years On,King,True,6487,BOE,Bank of England,2002,en,1.0,-0.0717703345848309,0.00080389867
2002-06-05,r020522a_BOE,United Kingdom,The Monetary Policy Committee Five Years On,King,True,6487,BOE,Bank of England,2002,en,1.0,-0.0717703345848309,0.00080389867
2002-06-06,r020522a_BOE,United Kingdom,The Monetary Policy Committee Five Years On,King,True,6487,BOE,Bank of England,2002,en,1.0,-0.0717703345848309,0.00080389867
2002-06-07,r020522a_BOE,United Kingdom,The Monetary Policy Committee Five Years On,King,True,6487,BOE,Bank of England,2002,en,1.0,-0.0717703345848309,0.00080389867
2002-06-08,r020522a_BOE,United Kingdom,The Monetary Policy Committee Five Years On,King,True,6487,BOE,Bank of England,2002,en,1.0,-0.0717703345848309,0.00080389867
2002-06-09,r020522a_BOE,United Kingdom,The Monetary Policy Committee Five Years On,King,True,6487,BOE,Bank of England,2002,en,1.0,-0.0717703345848309,0.00080389867
2002-06-10,r020522a_BOE,United Kingdom,The Monetary Policy Committee Five Years On,King,True,6487,BOE,Bank of England,2002,en,1.0,-0.0717703345848309,0.00080389867
2002-06-11,r020522a_BOE,United Kingdom,The Monetary Policy Committee Five Years On,King,True,6487,BOE,Bank of England,2002,en,1.0,-0.0717703345848309,0.00080389867
2002-06-12,r020522a_BOE,United Kingdom,The Monetary Policy Committee Five Years On,King,True,6487,BOE,Bank of England,2002,en,1.0,-0.0717703345848309,0.00080389867
2002-06-13,r020522a_BOE,United Kingdom,The Monetary Policy Committee Five Years On,King,True,6487,BOE,Bank of England,2002,en,1.0,-0.0717703345848309,0.00080389867
2002-06-14,r020522a_BOE,United Kingdom,The Monetary Policy Committee Five Years On,King,True,6487,BOE,Bank of England,2002,en,1.0,-0.0717703345848309,0.00080389867
2002-06-15,r020522a_BOE,United Kingdom,The Monetary Policy Committee Five Years On,King,True,6487,BOE,Bank of England,2002,en,1.0,-0.0717703345848309,0.00080389867
2002-06-16,r020522a_BOE,United Kingdom,The Monetary Policy Committee Five Years On,King,True,6487,BOE,Bank of England,2002,en,1.0,-0.0717703345848309,0.00080389867
2002-06-17,r020522a_BOE,United Kingdom,The Monetary Policy Committee Five Years On,King,True,6487,BOE,Bank of England,2002,en,1.0,-0.0717703345848309,0.00080389867
2002-06-18,r020522a_BOE,United Kingdom,The Monetary Policy Committee Five Years On,King,True,6487,BOE,Bank of England,2002,en,1.0,-0.0717703345848309,0.00080389867
2002-06-19,r020619a_BOE,United Kingdom,"Monetary Policy Issues: Past, Present, Future",Nickell,False,10891,BOE,Bank of England,2002,en,1.0,-0.3976470578878893,-0.061707586
2002-06-20,r020619a_BOE,United Kingdom,"Monetary Policy Issues: Past, Present, Future",Nickell,False,10891,BOE,Bank of England,2002,en,1.0,-0.3976470578878893,-0.061707586
2002-06-21,r020619a_BOE,United Kingdom,"Monetary Policy Issues: Past, Present, Future",Nickell,False,10891,BOE,Bank of England,2002,en,1.0,-0.3976470578878893,-0.061707586
2002-06-22,r020619a_BOE,United Kingdom,"Monetary Policy Issues: Past, Present, Future",Nickell,False,10891,BOE,Bank of England,2002,en,1.0,-0.3976470578878893,-0.061707586
2002-06-23,r020619a_BOE,United Kingdom,"Monetary Policy Issues: Past, Present, Future",Nickell,False,10891,BOE,Bank of England,2002,en,1.0,-0.3976470578878893,-0.061707586
2002-06-24,r020619a_BOE,United Kingdom,"Monetary Policy Issues: Past, Present, Future",Nickell,False,10891,BOE,Bank of England,2002,en,1.0,-0.3976470578878893,-0.061707586
2002-06-25,r020619a_BOE,United Kingdom,"Monetary Policy Issues: Past, Present, Future",Nickell,False,10891,BOE,Bank of England,2002,en,1.0,-0.3976470578878893,-0.061707586
2002-06-26,r020626a_BOE,United Kingdom,Mansion House Speech,George,False,1815,BOE,Bank of England,2002,en,0.9996,-0.0303030298438934,0.20701414
2002-06-27,r020626a_BOE,United Kingdom,Mansion House Speech,George,False,1815,BOE,Bank of England,2002,en,0.9996,-0.0303030298438934,0.20701414
2002-06-28,r020626a_BOE,United Kingdom,Mansion House Speech,George,False,1815,BOE,Bank of England,2002,en,0.9996,-0.0303030298438934,0.20701414
2002-06-29,r020626a_BOE,United Kingdom,Mansion House Speech,George,False,1815,BOE,Bank of England,2002,en,0.9996,-0.0303030298438934,0.20701414
2002-06-30,r020626a_BOE,United Kingdom,Mansion House Speech,George,False,1815,BOE,Bank of England,2002,en,0.9996,-0.0303030298438934,0.20701414
2002-07-01,r020626a_BOE,United Kingdom,Mansion House Speech,George,False,1815,BOE,Bank of England,2002,en,0.9996,-0.0303030298438934,0.20701414
2002-07-02,r020626a_BOE,United Kingdom,Mansion House Speech,George,False,1815,BOE,Bank of England,2002,en,0.9996,-0.0303030298438934,0.20701414
2002-07-03,r020626a_BOE,United Kingdom,Mansion House Speech,George,False,1815,BOE,Bank of England,2002,en,0.9996,-0.0303030298438934,0.20701414
2002-07-04,r020626a_BOE,United Kingdom,Mansion House Speech,George,False,1815,BOE,Bank of England,2002,en,0.9996,-0.0303030298438934,0.20701414
2002-07-05,r020626a_BOE,United Kingdom,Mansion House Speech,George,False,1815,BOE,Bank of England,2002,en,0.9996,-0.0303030298438934,0.20701414
2002-07-06,r020626a_BOE,United Kingdom,Mansion House Speech,George,False,1815,BOE,Bank of England,2002,en,0.9996,-0.0303030298438934,0.20701414
2002-07-07,r020626a_BOE,United Kingdom,Mansion House Speech,George,False,1815,BOE,Bank of England,2002,en,0.9996,-0.0303030298438934,0.20701414
2002-07-08,r020626a_BOE,United Kingdom,Mansion House Speech,George,False,1815,BOE,Bank of England,2002,en,0.9996,-0.0303030298438934,0.20701414
2002-07-09,r020626a_BOE,United Kingdom,Mansion House Speech,George,False,1815,BOE,Bank of England,2002,en,0.9996,-0.0303030298438934,0.20701414
2002-07-10,r020626a_BOE,United Kingdom,Mansion House Speech,George,False,1815,BOE,Bank of England,2002,en,0.9996,-0.0303030298438934,0.20701414
2002-07-11,r020626a_BOE,United Kingdom,Mansion House Speech,George,False,1815,BOE,Bank of England,2002,en,0.9996,-0.0303030298438934,0.20701414
2002-07-12,r020626a_BOE,United Kingdom,Mansion House Speech,George,False,1815,BOE,Bank of England,2002,en,0.9996,-0.0303030298438934,0.20701414
2002-07-13,r020626a_BOE,United Kingdom,Mansion House Speech,George,False,1815,BOE,Bank of England,2002,en,0.9996,-0.0303030298438934,0.20701414
2002-07-14,r020626a_BOE,United Kingdom,Mansion House Speech,George,False,1815,BOE,Bank of England,2002,en,0.9996,-0.0303030298438934,0.20701414
2002-07-15,r020626a_BOE,United Kingdom,Mansion House Speech,George,False,1815,BOE,Bank of England,2002,en,0.9996,-0.0303030298438934,0.20701414
2002-07-16,r020626a_BOE,United Kingdom,Mansion House Speech,George,False,1815,BOE,Bank of England,2002,en,0.9996,-0.0303030298438934,0.20701414
2002-07-17,r020626a_BOE,United Kingdom,Mansion House Speech,George,False,1815,BOE,Bank of England,2002,en,0.9996,-0.0303030298438934,0.20701414
2002-07-18,r020626a_BOE,United Kingdom,Mansion House Speech,George,False,1815,BOE,Bank of England,2002,en,0.9996,-0.0303030298438934,0.20701414
2002-07-19,r020626a_BOE,United Kingdom,Mansion House Speech,George,False,1815,BOE,Bank of England,2002,en,0.9996,-0.0303030298438934,0.20701414
2002-07-20,r020626a_BOE,United Kingdom,Mansion House Speech,George,False,1815,BOE,Bank of England,2002,en,0.9996,-0.0303030298438934,0.20701414
2002-07-21,r020626a_BOE,United Kingdom,Mansion House Speech,George,False,1815,BOE,Bank of England,2002,en,0.9996,-0.0303030298438934,0.20701414
2002-07-22,r020626a_BOE,United Kingdom,Mansion House Speech,George,False,1815,BOE,Bank of England,2002,en,0.9996,-0.0303030298438934,0.20701414
2002-07-23,r020626a_BOE,United Kingdom,Mansion House Speech,George,False,1815,BOE,Bank of England,2002,en,0.9996,-0.0303030298438934,0.20701414
2002-07-24,r020626a_BOE,United Kingdom,Mansion House Speech,George,False,1815,BOE,Bank of England,2002,en,0.9996,-0.0303030298438934,0.20701414
2002-07-25,r020626a_BOE,United Kingdom,Mansion House Speech,George,False,1815,BOE,Bank of England,2002,en,0.9996,-0.0303030298438934,0.20701414
2002-07-26,r020626a_BOE,United Kingdom,Mansion House Speech,George,False,1815,BOE,Bank of England,2002,en,0.9996,-0.0303030298438934,0.20701414
2002-07-27,r020626a_BOE,United Kingdom,Mansion House Speech,George,False,1815,BOE,Bank of England,2002,en,0.9996,-0.0303030298438934,0.20701414
2002-07-28,r020626a_BOE,United Kingdom,Mansion House Speech,George,False,1815,BOE,Bank of England,2002,en,0.9996,-0.0303030298438934,0.20701414
2002-07-29,r020626a_BOE,United Kingdom,Mansion House Speech,George,False,1815,BOE,Bank of England,2002,en,0.9996,-0.0303030298438934,0.20701414
2002-07-30,r020626a_BOE,United Kingdom,Mansion House Speech,George,False,1815,BOE,Bank of England,2002,en,0.9996,-0.0303030298438934,0.20701414
2002-07-31,r020626a_BOE,United Kingdom,Mansion House Speech,George,False,1815,BOE,Bank of England,2002,en,0.9996,-0.0303030298438934,0.20701414
2002-08-01,r020626a_BOE,United Kingdom,Mansion House Speech,George,False,1815,BOE,Bank of England,2002,en,0.9996,-0.0303030298438934,0.20701414
2002-08-02,r020626a_BOE,United Kingdom,Mansion House Speech,George,False,1815,BOE,Bank of England,2002,en,0.9996,-0.0303030298438934,0.20701414
2002-08-03,r020626a_BOE,United Kingdom,Mansion House Speech,George,False,1815,BOE,Bank of England,2002,en,0.9996,-0.0303030298438934,0.20701414
2002-08-04,r020626a_BOE,United Kingdom,Mansion House Speech,George,False,1815,BOE,Bank of England,2002,en,0.9996,-0.0303030298438934,0.20701414
2002-08-05,r020626a_BOE,United Kingdom,Mansion House Speech,George,False,1815,BOE,Bank of England,2002,en,0.9996,-0.0303030298438934,0.20701414
2002-08-06,r020626a_BOE,United Kingdom,Mansion House Speech,George,False,1815,BOE,Bank of England,2002,en,0.9996,-0.0303030298438934,0.20701414
2002-08-07,r020626a_BOE,United Kingdom,Mansion House Speech,George,False,1815,BOE,Bank of England,2002,en,0.9996,-0.0303030298438934,0.20701414
2002-08-08,r020626a_BOE,United Kingdom,Mansion House Speech,George,False,1815,BOE,Bank of England,2002,en,0.9996,-0.0303030298438934,0.20701414
2002-08-09,r020626a_BOE,United Kingdom,Mansion House Speech,George,False,1815,BOE,Bank of England,2002,en,0.9996,-0.0303030298438934,0.20701414
2002-08-10,r020626a_BOE,United Kingdom,Mansion House Speech,George,False,1815,BOE,Bank of England,2002,en,0.9996,-0.0303030298438934,0.20701414
2002-08-11,r020626a_BOE,United Kingdom,Mansion House Speech,George,False,1815,BOE,Bank of England,2002,en,0.9996,-0.0303030298438934,0.20701414
2002-08-12,r020626a_BOE,United Kingdom,Mansion House Speech,George,False,1815,BOE,Bank of England,2002,en,0.9996,-0.0303030298438934,0.20701414
2002-08-13,r020626a_BOE,United Kingdom,Mansion House Speech,George,False,1815,BOE,Bank of England,2002,en,0.9996,-0.0303030298438934,0.20701414
2002-08-14,r020626a_BOE,United Kingdom,Mansion House Speech,George,False,1815,BOE,Bank of England,2002,en,0.9996,-0.0303030298438934,0.20701414
2002-08-15,r020626a_BOE,United Kingdom,Mansion House Speech,George,False,1815,BOE,Bank of England,2002,en,0.9996,-0.0303030298438934,0.20701414
2002-08-16,r020626a_BOE,United Kingdom,Mansion House Speech,George,False,1815,BOE,Bank of England,2002,en,0.9996,-0.0303030298438934,0.20701414
2002-08-17,r020626a_BOE,United Kingdom,Mansion House Speech,George,False,1815,BOE,Bank of England,2002,en,0.9996,-0.0303030298438934,0.20701414
2002-08-18,r020626a_BOE,United Kingdom,Mansion House Speech,George,False,1815,BOE,Bank of England,2002,en,0.9996,-0.0303030298438934,0.20701414
2002-08-19,r020626a_BOE,United Kingdom,Mansion House Speech,George,False,1815,BOE,Bank of England,2002,en,0.9996,-0.0303030298438934,0.20701414
2002-08-20,r020626a_BOE,United Kingdom,Mansion House Speech,George,False,1815,BOE,Bank of England,2002,en,0.9996,-0.0303030298438934,0.20701414
2002-08-21,r020626a_BOE,United Kingdom,Mansion House Speech,George,False,1815,BOE,Bank of England,2002,en,0.9996,-0.0303030298438934,0.20701414
2002-08-22,r020626a_BOE,United Kingdom,Mansion House Speech,George,False,1815,BOE,Bank of England,2002,en,0.9996,-0.0303030298438934,0.20701414
2002-08-23,r020626a_BOE,United Kingdom,Mansion House Speech,George,False,1815,BOE,Bank of England,2002,en,0.9996,-0.0303030298438934,0.20701414
2002-08-24,r020626a_BOE,United Kingdom,Mansion House Speech,George,False,1815,BOE,Bank of England,2002,en,0.9996,-0.0303030298438934,0.20701414
2002-08-25,r020626a_BOE,United Kingdom,Mansion House Speech,George,False,1815,BOE,Bank of England,2002,en,0.9996,-0.0303030298438934,0.20701414
2002-08-26,r020626a_BOE,United Kingdom,Mansion House Speech,George,False,1815,BOE,Bank of England,2002,en,0.9996,-0.0303030298438934,0.20701414
2002-08-27,r020626a_BOE,United Kingdom,Mansion House Speech,George,False,1815,BOE,Bank of England,2002,en,0.9996,-0.0303030298438934,0.20701414
2002-08-28,r020626a_BOE,United Kingdom,Mansion House Speech,George,False,1815,BOE,Bank of England,2002,en,0.9996,-0.0303030298438934,0.20701414
2002-08-29,r020626a_BOE,United Kingdom,Mansion House Speech,George,False,1815,BOE,Bank of England,2002,en,0.9996,-0.0303030298438934,0.20701414
2002-08-30,r020626a_BOE,United Kingdom,Mansion House Speech,George,False,1815,BOE,Bank of England,2002,en,0.9996,-0.0303030298438934,0.20701414
2002-08-31,r020626a_BOE,United Kingdom,Mansion House Speech,George,False,1815,BOE,Bank of England,2002,en,0.9996,-0.0303030298438934,0.20701414
2002-09-01,r020626a_BOE,United Kingdom,Mansion House Speech,George,False,1815,BOE,Bank of England,2002,en,0.9996,-0.0303030298438934,0.20701414
2002-09-02,r020626a_BOE,United Kingdom,Mansion House Speech,George,False,1815,BOE,Bank of England,2002,en,0.9996,-0.0303030298438934,0.20701414
2002-09-03,r020626a_BOE,United Kingdom,Mansion House Speech,George,False,1815,BOE,Bank of England,2002,en,0.9996,-0.0303030298438934,0.20701414
2002-09-04,r020626a_BOE,United Kingdom,Mansion House Speech,George,False,1815,BOE,Bank of England,2002,en,0.9996,-0.0303030298438934,0.20701414
2002-09-05,r020626a_BOE,United Kingdom,Mansion House Speech,George,False,1815,BOE,Bank of England,2002,en,0.9996,-0.0303030298438934,0.20701414
2002-09-06,r020626a_BOE,United Kingdom,Mansion House Speech,George,False,1815,BOE,Bank of England,2002,en,0.9996,-0.0303030298438934,0.20701414
2002-09-07,r020626a_BOE,United Kingdom,Mansion House Speech,George,False,1815,BOE,Bank of England,2002,en,0.9996,-0.0303030298438934,0.20701414
2002-09-08,r020626a_BOE,United Kingdom,Mansion House Speech,George,False,1815,BOE,Bank of England,2002,en,0.9996,-0.0303030298438934,0.20701414
2002-09-09,r020626a_BOE,United Kingdom,Mansion House Speech,George,False,1815,BOE,Bank of England,2002,en,0.9996,-0.0303030298438934,0.20701414
2002-09-10,r020626a_BOE,United Kingdom,Mansion House Speech,George,False,1815,BOE,Bank of England,2002,en,0.9996,-0.0303030298438934,0.20701414
2002-09-11,r020626a_BOE,United Kingdom,Mansion House Speech,George,False,1815,BOE,Bank of England,2002,en,0.9996,-0.0303030298438934,0.20701414
2002-09-12,r020626a_BOE,United Kingdom,Mansion House Speech,George,False,1815,BOE,Bank of England,2002,en,0.9996,-0.0303030298438934,0.20701414
2002-09-13,r020626a_BOE,United Kingdom,Mansion House Speech,George,False,1815,BOE,Bank of England,2002,en,0.9996,-0.0303030298438934,0.20701414
2002-09-14,r020626a_BOE,United Kingdom,Mansion House Speech,George,False,1815,BOE,Bank of England,2002,en,0.9996,-0.0303030298438934,0.20701414
2002-09-15,r020626a_BOE,United Kingdom,Mansion House Speech,George,False,1815,BOE,Bank of England,2002,en,0.9996,-0.0303030298438934,0.20701414
2002-09-16,r020626a_BOE,United Kingdom,Mansion House Speech,George,False,1815,BOE,Bank of England,2002,en,0.9996,-0.0303030298438934,0.20701414
2002-09-17,r020626a_BOE,United Kingdom,Mansion House Speech,George,False,1815,BOE,Bank of England,2002,en,0.9996,-0.0303030298438934,0.20701414
2002-09-18,r020626a_BOE,United Kingdom,Mansion House Speech,George,False,1815,BOE,Bank of England,2002,en,0.9996,-0.0303030298438934,0.20701414
2002-09-19,r020919a_BOE,United Kingdom,Macroeconomic Policy Rules in Theory and in Practice,Allsopp,False,10817,BOE,Bank of England,2002,en,0.9999,-0.3659574460298778,-0.050681747
2002-09-20,r020920a_BOE,United Kingdom,"West Midlands Conference ""20-20 Vision""",George,False,3274,BOE,Bank of England,2002,en,0.9998,0.0503597118679157,0.30949178
2002-09-21,r020920a_BOE,United Kingdom,"West Midlands Conference ""20-20 Vision""",George,False,3274,BOE,Bank of England,2002,en,0.9998,0.0503597118679157,0.30949178
2002-09-22,r020920a_BOE,United Kingdom,"West Midlands Conference ""20-20 Vision""",George,False,3274,BOE,Bank of England,2002,en,0.9998,0.0503597118679157,0.30949178
2002-09-23,r020920a_BOE,United Kingdom,"West Midlands Conference ""20-20 Vision""",George,False,3274,BOE,Bank of England,2002,en,0.9998,0.0503597118679157,0.30949178
2002-09-24,r020920a_BOE,United Kingdom,"West Midlands Conference ""20-20 Vision""",George,False,3274,BOE,Bank of England,2002,en,0.9998,0.0503597118679157,0.30949178
2002-09-25,r020920a_BOE,United Kingdom,"West Midlands Conference ""20-20 Vision""",George,False,3274,BOE,Bank of England,2002,en,0.9998,0.0503597118679157,0.30949178
2002-09-26,r020920a_BOE,United Kingdom,"West Midlands Conference ""20-20 Vision""",George,False,3274,BOE,Bank of England,2002,en,0.9998,0.0503597118679157,0.30949178
2002-09-27,r020920a_BOE,United Kingdom,"West Midlands Conference ""20-20 Vision""",George,False,3274,BOE,Bank of England,2002,en,0.9998,0.0503597118679157,0.30949178
2002-09-28,r020920a_BOE,United Kingdom,"West Midlands Conference ""20-20 Vision""",George,False,3274,BOE,Bank of England,2002,en,0.9998,0.0503597118679157,0.30949178
2002-09-29,r020920a_BOE,United Kingdom,"West Midlands Conference ""20-20 Vision""",George,False,3274,BOE,Bank of England,2002,en,0.9998,0.0503597118679157,0.30949178
2002-09-30,r020920a_BOE,United Kingdom,"West Midlands Conference ""20-20 Vision""",George,False,3274,BOE,Bank of England,2002,en,0.9998,0.0503597118679157,0.30949178
2002-10-01,r020920a_BOE,United Kingdom,"West Midlands Conference ""20-20 Vision""",George,False,3274,BOE,Bank of England,2002,en,0.9998,0.0503597118679157,0.30949178
2002-10-02,r020920a_BOE,United Kingdom,"West Midlands Conference ""20-20 Vision""",George,False,3274,BOE,Bank of England,2002,en,0.9998,0.0503597118679157,0.30949178
2002-10-03,r020920a_BOE,United Kingdom,"West Midlands Conference ""20-20 Vision""",George,False,3274,BOE,Bank of England,2002,en,0.9998,0.0503597118679157,0.30949178
2002-10-04,r020920a_BOE,United Kingdom,"West Midlands Conference ""20-20 Vision""",George,False,3274,BOE,Bank of England,2002,en,0.9998,0.0503597118679157,0.30949178
2002-10-05,r020920a_BOE,United Kingdom,"West Midlands Conference ""20-20 Vision""",George,False,3274,BOE,Bank of England,2002,en,0.9998,0.0503597118679157,0.30949178
2002-10-06,r020920a_BOE,United Kingdom,"West Midlands Conference ""20-20 Vision""",George,False,3274,BOE,Bank of England,2002,en,0.9998,0.0503597118679157,0.30949178
2002-10-07,r020920a_BOE,United Kingdom,"West Midlands Conference ""20-20 Vision""",George,False,3274,BOE,Bank of England,2002,en,0.9998,0.0503597118679157,0.30949178
2002-10-08,r020920a_BOE,United Kingdom,"West Midlands Conference ""20-20 Vision""",George,False,3274,BOE,Bank of England,2002,en,0.9998,0.0503597118679157,0.30949178
2002-10-09,r020920a_BOE,United Kingdom,"West Midlands Conference ""20-20 Vision""",George,False,3274,BOE,Bank of England,2002,en,0.9998,0.0503597118679157,0.30949178
2002-10-10,r020920a_BOE,United Kingdom,"West Midlands Conference ""20-20 Vision""",George,False,3274,BOE,Bank of England,2002,en,0.9998,0.0503597118679157,0.30949178
2002-10-11,r020920a_BOE,United Kingdom,"West Midlands Conference ""20-20 Vision""",George,False,3274,BOE,Bank of England,2002,en,0.9998,0.0503597118679157,0.30949178
2002-10-12,r020920a_BOE,United Kingdom,"West Midlands Conference ""20-20 Vision""",George,False,3274,BOE,Bank of England,2002,en,0.9998,0.0503597118679157,0.30949178
2002-10-13,r020920a_BOE,United Kingdom,"West Midlands Conference ""20-20 Vision""",George,False,3274,BOE,Bank of England,2002,en,0.9998,0.0503597118679157,0.30949178
2002-10-14,r021014a_BOE,United Kingdom,Monetary Policy,Barker,False,6136,BOE,Bank of England,2002,en,0.9993,-0.3809523796566245,-0.33928704
2002-10-15,r021015a_BOE,United Kingdom,Northwest Development Agency/Bank of England Dinner,George,False,1936,BOE,Bank of England,2002,en,0.998,-0.3170731668649614,-0.17097384
2002-10-16,r021015a_BOE,United Kingdom,Northwest Development Agency/Bank of England Dinner,George,False,1936,BOE,Bank of England,2002,en,0.998,-0.3170731668649614,-0.17097384
2002-10-17,r021015a_BOE,United Kingdom,Northwest Development Agency/Bank of England Dinner,George,False,1936,BOE,Bank of England,2002,en,0.998,-0.3170731668649614,-0.17097384
2002-10-18,r021015a_BOE,United Kingdom,Northwest Development Agency/Bank of England Dinner,George,False,1936,BOE,Bank of England,2002,en,0.998,-0.3170731668649614,-0.17097384
2002-10-19,r021015a_BOE,United Kingdom,Northwest Development Agency/Bank of England Dinner,George,False,1936,BOE,Bank of England,2002,en,0.998,-0.3170731668649614,-0.17097384
2002-10-20,r021015a_BOE,United Kingdom,Northwest Development Agency/Bank of England Dinner,George,False,1936,BOE,Bank of England,2002,en,0.998,-0.3170731668649614,-0.17097384
2002-10-21,r021015a_BOE,United Kingdom,Northwest Development Agency/Bank of England Dinner,George,False,1936,BOE,Bank of England,2002,en,0.998,-0.3170731668649614,-0.17097384
2002-10-22,r021015a_BOE,United Kingdom,Northwest Development Agency/Bank of England Dinner,George,False,1936,BOE,Bank of England,2002,en,0.998,-0.3170731668649614,-0.17097384
2002-10-23,r021015a_BOE,United Kingdom,Northwest Development Agency/Bank of England Dinner,George,False,1936,BOE,Bank of England,2002,en,0.998,-0.3170731668649614,-0.17097384
2002-10-24,r021015a_BOE,United Kingdom,Northwest Development Agency/Bank of England Dinner,George,False,1936,BOE,Bank of England,2002,en,0.998,-0.3170731668649614,-0.17097384
2002-10-25,r021015a_BOE,United Kingdom,Northwest Development Agency/Bank of England Dinner,George,False,1936,BOE,Bank of England,2002,en,0.998,-0.3170731668649614,-0.17097384
2002-10-26,r021015a_BOE,United Kingdom,Northwest Development Agency/Bank of England Dinner,George,False,1936,BOE,Bank of England,2002,en,0.998,-0.3170731668649614,-0.17097384
2002-10-27,r021015a_BOE,United Kingdom,Northwest Development Agency/Bank of England Dinner,George,False,1936,BOE,Bank of England,2002,en,0.998,-0.3170731668649614,-0.17097384
2002-10-28,r021015a_BOE,United Kingdom,Northwest Development Agency/Bank of England Dinner,George,False,1936,BOE,Bank of England,2002,en,0.998,-0.3170731668649614,-0.17097384
2002-10-29,r021015a_BOE,United Kingdom,Northwest Development Agency/Bank of England Dinner,George,False,1936,BOE,Bank of England,2002,en,0.998,-0.3170731668649614,-0.17097384
